locationId,rate,2015,2016,2017
06224,Total de delitos contra la propiedad,397,297,220
06224,Total de hechos de robos,97,86,45
06224,Total de hechos de hurtos,205,105,61
06224,Total de víctimas de trata de personas por provincia de origen,,,
06224,Total de víctimas de trata de personas por provincia de captación,,,
06175,Total de hechos delictivos,1556,1218,1190
06175,Total de víctimas de delitos contra las personas,476,397,408
06175,Total de víctimas de homicidios dolosos,0,1,1
06175,Total de víctimas de lesiones dolosas,303,165,192
06175,Total de víctimas de muertes en siniestros viales,1,1,0
06175,Total de víctimas de lesiones culposas en siniestros viales,152,204,211
06175,Total de víctimas de violaciones,0,1,0
06175,Total de víctimas de otros delitos contra la integridad sexual,1,0,1
06175,Total de hechos de amenazas,255,143,149
06175,Total de delitos contra la propiedad,746,607,533
06175,Total de hechos de robos,125,125,91
06175,Total de hechos de hurtos,351,330,291
06175,Total de víctimas de trata de personas por provincia de origen,,,
06175,Total de víctimas de trata de personas por provincia de captación,,,
06182,Total de hechos delictivos,1115,833,773
06182,Total de víctimas de delitos contra las personas,342,239,194
06182,Total de víctimas de homicidios dolosos,0,0,1
06182,Total de víctimas de lesiones dolosas,258,94,78
06182,Total de víctimas de muertes en siniestros viales,5,7,1
06182,Total de víctimas de lesiones culposas en siniestros viales,67,106,107
06182,Total de víctimas de violaciones,0,4,8
06182,Total de víctimas de otros delitos contra la integridad sexual,46,1,0
06182,Total de hechos de amenazas,122,64,73
06182,Total de delitos contra la propiedad,362,351,259
06182,Total de hechos de robos,114,109,81
06182,Total de hechos de hurtos,120,151,87
06182,Total de víctimas de trata de personas por provincia de origen,,,
06182,Total de víctimas de trata de personas por provincia de captación,,,
06189,Total de hechos delictivos,253,160,196
06189,Total de víctimas de delitos contra las personas,67,35,30
06189,Total de víctimas de homicidios dolosos,0,1,0
06189,Total de víctimas de lesiones dolosas,31,14,13
06189,Total de víctimas de muertes en siniestros viales,3,9,1
06189,Total de víctimas de lesiones culposas en siniestros viales,24,8,14
06189,Total de víctimas de violaciones,0,3,1
06189,Total de víctimas de otros delitos contra la integridad sexual,1,0,0
06189,Total de hechos de amenazas,16,9,20
06189,Total de delitos contra la propiedad,154,78,102
06189,Total de hechos de robos,53,29,38
06189,Total de hechos de hurtos,62,33,37
06189,Total de víctimas de trata de personas por provincia de origen,,,
06189,Total de víctimas de trata de personas por provincia de captación,,,
06196,Total de hechos delictivos,324,397,372
06196,Total de víctimas de delitos contra las personas,60,80,94
06196,Total de víctimas de homicidios dolosos,0,0,2
06196,Total de víctimas de lesiones dolosas,28,26,36
06196,Total de víctimas de muertes en siniestros viales,2,4,5
06196,Total de víctimas de lesiones culposas en siniestros viales,14,34,45
06196,Total de víctimas de violaciones,0,2,0
06196,Total de víctimas de otros delitos contra la integridad sexual,1,1,1
06196,Total de hechos de amenazas,30,48,59
06196,Total de delitos contra la propiedad,194,167,141
06196,Total de hechos de robos,53,40,26
06196,Total de hechos de hurtos,72,64,59
06196,Total de víctimas de trata de personas por provincia de origen,,,
06196,Total de víctimas de trata de personas por provincia de captación,,,
06203,Total de hechos delictivos,320,507,554
06203,Total de víctimas de delitos contra las personas,64,125,145
06203,Total de víctimas de homicidios dolosos,0,1,1
06203,Total de víctimas de lesiones dolosas,26,43,55
06203,Total de víctimas de muertes en siniestros viales,2,3,3
06203,Total de víctimas de lesiones culposas en siniestros viales,22,66,77
06203,Total de víctimas de violaciones,0,2,3
